invoice_and_item_number,date,store_number,store_name,major_category_name,city,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters
S30557200072,2016-02-03,2513,Hy-Vee Food Store #2 / Iowa City,Vodkas,IOWA CITY,34821,Svedka Vodka,6,1750,14.74,22.11,30,663.3,52.5
INV-00702000028,2016-10-04,4637,Kwik Shop #560 / Cedar Rapids,Vodkas,Cedar Rapids,34817,Svedka,12,375,4.75,7.13,5,35.65,1.88
S30821200119,2016-02-18,2663,Hy-Vee / Urbandale,Vodkas,URBANDALE,34821,Svedka Vodka,6,1750,14.74,22.11,30,663.3,52.5
S30924100027,2016-02-25,4502,Neighborhood Mart / Waterloo,Vodkas,WATERLOO,34817,Svedka,12,375,4.76,7.14,6,42.84,2.25
S30982900027,2016-02-29,3784,Hartig Drug #14 / Independence,Vodkas,INDEPENDENCE,34821,Svedka Vodka,6,1750,14.74,22.11,2,44.22,3.5
S30793700016,2016-02-17,2200,Sac Liquor Store,Vodkas,SAC CITY,34821,Svedka Vodka,6,1750,14.74,22.11,2,44.22,3.5
INV-01402400011,2016-11-04,4474,Bucky's Express #34 / Council Bluffs,Vodkas,Council Bluffs,34817,Svedka,12,375,4.75,7.13,10,71.3,3.75
INV-00991700008,2016-10-17,5226,KC Brothers,Vodkas,Davenport,34817,Svedka,12,375,4.75,7.13,12,85.56,4.5
INV-01020300023,2016-10-18,5224,Keystone Liquor & Wine / Coralville,Vodkas,Coralville,34817,Svedka,12,375,4.75,7.13,12,85.56,4.5
S30977200012,2016-02-29,5198,Riverside Liquor,Vodkas,DAVENPORT,34817,Svedka,12,375,4.76,7.14,12,85.68,4.5
S30545900007,2016-02-03,3715,Kimberly Mart / Davenport,Vodkas,DAVENPORT,34817,Svedka,12,375,4.76,7.14,12,85.68,4.5
S30769900014,2016-02-18,4803,Walgreens #07453 / Des Moines,Vodkas,DES MOINES,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30944400007,2016-02-25,5211,Kum & Go #129  /  Johnston,Vodkas,JOHNSTON,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30720300004,2016-02-15,5189,The Fresh Market  / W Des Moines,Vodkas,WEST DES MOINES,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30839500001,2016-02-22,4019,Wal-Mart 1506 / Manchester,Vodkas,MANCHESTER,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30964200001,2016-02-29,3563,Wal-Mart 0559 / Muscatine,Vodkas,MUSCATINE,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30564800028,2016-02-03,3926,Liquor Downtown / Iowa City,Vodkas,IOWA CITY,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30547800002,2016-02-08,4800,Walgreens #07968 / Des Moines,Vodkas,DES MOINES,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30585300028,2016-02-10,3524,Sam's Club 6568 / Ames,Vodkas,AMES,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30492300096,2016-02-01,2512,Hy-Vee Wine and Spirits / Iowa City,Vodkas,IOWA CITY,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30892300017,2016-02-23,3666,Target Store T-1771 / Cedar Rapids,Vodkas,CEDAR RAPIDS,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30585100026,2016-02-09,3477,Sam's Club 6472 / Council Bluffs,Vodkas,COUNCIL BLUFFS,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30682500017,2016-02-11,3528,Super Target T-0804 Mason City,Vodkas,MASON CITY,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30856100030,2016-02-22,4794,Smokin' Joe's #17 Tobacco and Liquor,Vodkas,BURLINGTON,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30535700001,2016-02-03,3721,Wal-Mart 0913 / Decorah,Vodkas,DECORAH,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30802300051,2016-02-17,4057,Tequila's Liquor Store,Vodkas,DES MOINES,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30894600017,2016-02-25,4801,Walgreens #05852 / Des Moines,Vodkas,DES MOINES,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30560000078,2016-02-03,3869,Bootleggin' Barzini's Fin,Vodkas,CORALVILLE,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30983800064,2016-02-29,2647,Hy-Vee #7 / Cedar Rapids,Vodkas,CEDAR RAPIDS,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30758800010,2016-02-16,4727,Walgreens #07996 / Ankeny,Vodkas,ANKENY,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30563100001,2016-02-04,3769,Wal-Mart 0753 / Cedar Fall,Vodkas,CEDAR FALLS,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30880300021,2016-02-23,5126,Price Chopper  /  Merle Hay,Vodkas,DES MOINES,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30691000018,2016-02-11,4988,Happy's Wine & Spirits,Vodkas,CEDAR FALLS,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30986500037,2016-02-29,3838,Schnucks / Bettendorf,Vodkas,BETTENDORF,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30517200060,2016-02-02,2620,Hy-Vee / Windsor Heights,Vodkas,WINDSOR HEIGHTS,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30872300008,2016-02-22,2535,Hy-Vee Food Store #1 / WDM,Vodkas,WEST DES MOINES,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30741900003,2016-02-15,3871,Target Store T-0069 / WDM,Vodkas,WEST DES MOINES,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30479700001,2016-02-01,3868,Wal-Mart 3630 / Marion,Vodkas,MARION,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30623400001,2016-02-09,3622,Wal-Mart 1415 / Spirit Lake,Vodkas,SPIRIT LAKE,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30651600008,2016-02-09,3666,Target Store T-1771 / Cedar Rapids,Vodkas,CEDAR RAPIDS,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30624100002,2016-02-09,4209,Wal-Mart 5748 / Grimes,Vodkas,GRIMES,34821,Svedka Vodka,6,1750,14.74,22.11,6,132.66,10.5
S30717400001,2016-02-15,3886,Wal-Mart 0646 / Anamosa,Vodkas,ANAMOSA,34821,Svedka Vodka,6,1750,14.74,22.11,12,265.32,21
S30594500027,2016-02-08,4892,Sara Mini Mart,Vodkas,DAVENPORT,34817,Svedka,12,375,4.76,7.14,2,14.28,0.75
S30783000047,2016-02-17,2536,HY-VEE / PLEASANT HILL,Vodkas,PLEASANT HILL,34817,Svedka,12,375,4.76,7.14,2,14.28,0.75
INV-01322600020,2016-11-01,2572,Hy-Vee Food Store / Cedar Falls,Vodkas,Cedar Falls,34817,Svedka,12,375,4.75,7.13,2,14.26,0.75
S30816600010,2016-02-18,4773,"Fast Mart 2, LLC",Vodkas,WEST DES MOINES,34817,Svedka,12,375,4.76,7.14,2,14.28,0.75
INV-00641000024,2016-10-03,5137,Shop N Save  /  NW 2nd  DSM,Vodkas,Des Moines,34817,Svedka,12,375,4.75,7.13,2,14.26,0.75
INV-01068100041,2016-10-19,2621,Hy-Vee Food Store #3 / Sioux City,Vodkas,Sioux City,34817,Svedka,12,375,4.75,7.13,2,14.26,0.75
INV-01620700387,2016-11-16,2565,Hy-Vee Food Store / Spencer,Vodkas,Spencer,34817,Svedka,12,375,4.75,7.13,2,14.26,0.75
S30942300008,2016-02-25,4773,"Fast Mart 2, LLC",Vodkas,WEST DES MOINES,34817,Svedka,12,375,4.76,7.14,2,14.28,0.75
INV-00072800010,2016-08-31,3928,Smokin' Joe's #12 Tobacco and Liquor Outlet,Vodkas,North Liberty,34817,Svedka,12,375,4.76,7.14,2,7.14,0.75
INV-01743900057,2016-11-22,3942,Twin Town Liquor,Vodkas,Toledo,34817,Svedka,12,375,4.75,7.13,2,14.26,0.75
INV-00068500098,2016-08-31,2623,Hy-Vee Food Store #4 / Sioux City,Vodkas,Sioux City,36315,Svedka 100 Prf,12,750,10.25,15.38,2,15.38,1.5
S30981400132,2016-02-29,2613,Hy-Vee Food Store #1 / Council Bluff,Vodkas,COUNCIL BLUFFS,34817,Svedka,12,375,4.76,7.14,4,28.56,1.5
S30762000087,2016-02-16,3495,Great Pastimes,Vodkas,MONTICELLO,34821,Svedka Vodka,6,1750,14.74,22.11,1,22.11,1.75
INV-00071500002,2016-08-31,4162,Fareway Stores #963 / Cedar Rapids,Vodkas,Cedar Rapids,34821,Svedka Vodka,6,1750,14.74,22.11,1,132.66,1.75
INV-00021600007,2016-08-29,3763,Main Street Liquors / Hawarden,Vodkas,Hawarden,34821,Svedka Vodka,6,1750,14.74,22.11,1,132.66,1.75
INV-00070400005,2016-08-31,4705,Walgreens #05977 / Coralville,Vodkas,Coralville,34821,Svedka Vodka,6,1750,14.74,22.11,1,132.66,1.75
INV-00018300001,2016-08-29,3790,Wal-Mart 0784 / Mt Pleasan,Vodkas,Mt Pleasant,34821,Svedka Vodka,6,1750,14.74,22.11,1,132.66,1.75
INV-00639900042,2016-10-03,4559,Osage Payless Foods,Vodkas,Osage,34817,Svedka,12,375,4.75,7.13,1,7.13,0.38
INV-01203900065,2016-10-26,5319,West Side Grocery,Vodkas,Davenport,34817,Svedka,12,375,4.75,7.13,3,21.39,1.12
INV-00898900025,2016-10-12,4645,Kwik Shop #589 / Eldridge,Vodkas,Eldridge,34817,Svedka,12,375,4.75,7.13,3,21.39,1.12
INV-01015700023,2016-10-18,4636,Kwik Shop #561 / Cedar Rapids,Vodkas,Cedar Rapids,34817,Svedka,12,375,4.75,7.13,3,21.39,1.12
INV-01008800020,2016-10-18,5327,Mega Saver,Vodkas,Council Bluffs,34817,Svedka,12,375,4.75,7.13,3,21.39,1.12
S30967800028,2016-02-29,3805,Washington Street Mini Mart,Vodkas,DAVENPORT,34817,Svedka,12,375,4.76,7.14,3,21.42,1.12
INV-00381000058,2016-09-19,3825,Shop N Save #2 / E 14th,Vodkas,Des Moines,34817,Svedka,12,375,4.75,7.13,3,21.39,1.12
S33377300008,2016-07-15,3477,Sam's Club 6472 / Council Bluffs,Vodkas,Council Bluffs,34821,Svedka Vodka,6,1750,14.74,22.11,60,1326.6,105
S33377500008,2016-07-13,3524,Sam's Club 6568 / Ames,Vodkas,Ames,34821,Svedka Vodka,6,1750,14.74,22.11,120,2653.2,210
S33518200008,2016-07-26,4677,Costco Wholesale #1111 / Coralville,Vodkas,Coralville,34821,Svedka Vodka,6,1750,14.74,22.11,66,1459.26,115.5
S31602200014,2016-04-04,4148,Fareway Stores #479 / Independence,Vodkas,INDEPENDENCE,34821,Svedka Vodka,6,1750,14.74,22.11,30,663.3,52.5
S32531500060,2016-05-25,2513,Hy-Vee Food Store #2 / Iowa City,Vodkas,Iowa City,34821,Svedka Vodka,6,1750,14.74,22.11,30,663.3,52.5
S32257700009,2016-05-11,4135,Fareway Stores #925 / Altoona,Vodkas,Altoona,34821,Svedka Vodka,6,1750,14.74,22.11,30,663.3,52.5
S31918400018,2016-04-21,2663,Hy-Vee / Urbandale,Vodkas,URBANDALE,34821,Svedka Vodka,6,1750,14.74,22.11,30,663.3,52.5
S33337400055,2016-07-12,2619,Hy-Vee Wine and Spirits / WDM,Vodkas,West Des Moines,34821,Svedka Vodka,6,1750,14.74,22.11,300,6633,525
S31611500058,2016-04-04,2619,Hy-Vee Wine and Spirits / WDM,Vodkas,WEST DES MOINES,34821,Svedka Vodka,6,1750,14.74,22.11,300,6633,525
S04229600038,2012-02-23,3814,Costco Wholesale #788,Vodkas,WEST DES MOINES,34821,Svedka Vodka,6,1750,13.89,20.84,60,1250.4,105
S18237700001,2014-04-03,4265,Kwik Stop 3 / Waterloo,Vodkas,WATERLOO,34817,Svedka,12,375,4.76,7.14,5,35.7,1.88
S25108800034,2015-04-15,3928,Smokin' Joe's #12 Tobacco and Liquor,Vodkas,NORTH LIBERTY,34817,Svedka,12,375,4.76,7.14,5,35.7,1.88
S23590500050,2015-01-20,4344,Spirits / Grimes,Vodkas,GRIMES,34822,Svedka,24,200,2.54,3.81,1,3.81,0.2
S24507800037,2015-03-12,2528,Hy-Vee Food Store #3 / Des Moines,Vodkas,DES MOINES,36315,Svedka 100 Proof,12,750,11.66,17.49,144,2518.56,108
S04889400023,2012-04-04,3447,Sam's Club 6432 / Sioux City,Vodkas,SIOUX CITY,34821,Svedka Vodka,6,1750,13.89,20.84,30,625.2,52.5
S08139900005,2012-10-10,3420,Sam's Club 6344 / Windsor Heights,Vodkas,WINDSOR HEIGHTS,34821,Svedka Vodka,6,1750,12.89,19.84,300,5952,525
S15184600099,2013-10-16,2501,Hy-vee  #2 / Ames,Vodkas,AMES,34821,Svedka Vodka,6,1750,12.28,18.92,60,1135.2,105
S03748300034,2012-01-25,3420,Sam's Club 6344 / Windsor Heights,Vodkas,WINDSOR HEIGHTS,34821,Svedka Vodka,6,1750,13.89,20.84,48,1000.32,84
S08144500028,2012-10-08,4677,Costco Wholesale #1111 / Coralville,Vodkas,CORALVILLE,34821,Svedka Vodka,6,1750,12.89,19.84,24,476.16,42
S13244600005,2013-07-10,3447,Sam's Club 6432 / Sioux City,Vodkas,SIOUX CITY,34821,Svedka Vodka,6,1750,13.28,19.92,120,2390.4,210
S10422400068,2013-02-05,4864,CLINTON LIQUOR & CONVENIENCE STORE,Vodkas,CLINTON,34817,Svedka,12,375,4.55,6.83,5,34.15,1.88
S03880400079,2012-02-02,3814,Costco Wholesale #788,Vodkas,WEST DES MOINES,34821,Svedka Vodka,6,1750,13.89,20.84,174,3626.16,304.5
S07317600113,2012-08-27,2599,Hy-Vee Wine and Spirits / Coralville,Vodkas,CORALVILLE,34821,Svedka Vodka,6,1750,12.89,19.84,138,2737.92,241.5
S13972700064,2013-08-19,3814,Costco Wholesale #788,Vodkas,WEST DES MOINES,34821,Svedka Vodka,6,1750,13.28,19.92,168,3346.56,294
S05071700021,2012-04-17,4635,Kwik Shop #563 / Cedar Rapids,Vodkas,CEDAR RAPIDS,34817,Svedka,12,375,4.55,6.83,5,34.15,1.88
S10856500041,2013-02-28,2964,Dahl's / Ankeny,Vodkas,ANKENY,34821,Svedka Vodka,6,1750,13.28,19.92,4,79.68,7
S06560100014,2012-07-12,3624,Wal-Mart 0748 / Newton,Vodkas,NEWTON,34821,Svedka Vodka,6,1750,13.89,20.84,30,625.2,52.5
S11120800046,2013-03-20,3420,Sam's Club 6344 / Windsor Heights,Vodkas,WINDSOR HEIGHTS,34821,Svedka Vodka,6,1750,13.28,19.92,24,478.08,42
S11396800008,2013-04-02,4634,Kwik Shop #565 / Cedar Rapids,Vodkas,CEDAR RAPIDS,34817,Svedka,12,375,4.55,6.83,7,47.81,2.62
S03464300001,2012-01-09,4257,Broadway Liquor,Vodkas,WATERLOO,904530,Svedka Vodka,24,200,2.53,3.8,96,364.8,19.2
S15274700015,2013-10-22,4636,Kwik Shop #561 / Cedar Rapids,Vodkas,CEDAR RAPIDS,34817,Svedka,12,375,4.55,6.83,5,34.15,1.88
S14054500032,2013-08-22,4677,Costco Wholesale #1111 / Coralville,Vodkas,CORALVILLE,34821,Svedka Vodka,6,1750,13.28,19.92,42,836.64,73.5
S21021200015,2014-09-03,3869,Bootleggin' Barzini's Fin,Vodkas,CORALVILLE,34822,Svedka,24,200,2.54,3.81,1,3.81,0.2
S07346100006,2012-10-05,2522,Hy-Vee Wine and Spirits / Spirit Lak,Vodkas,SPIRIT LAKE,34821,Svedka Vodka,6,1750,12.89,19.84,132,2618.88,231
S06138800002,2012-06-19,3732,North Scott Foods,Vodkas,ELDRIDGE,34821,Svedka Vodka,6,1750,12.89,19.84,60,1190.4,105
S12095400007,2013-05-08,3420,Sam's Club 6344 / Windsor Heights,Vodkas,WINDSOR HEIGHTS,34821,Svedka Vodka,6,1750,13.28,19.92,480,9561.6,840
S20180500019,2014-07-17,4344,Spirits / Grimes,Vodkas,GRIMES,34822,Svedka,24,200,2.54,3.81,1,3.81,0.2
S15267600046,2013-10-22,2532,Hy-Vee Food Store #2 / Des Moines,Vodkas,DES MOINES,34821,Svedka Vodka,6,1750,12.28,18.92,30,567.6,52.5
S23807800008,2015-02-02,3917,Smokin' Joe's #2 Tobacco and Liquor,Vodkas,DAVENPORT,34817,Svedka,12,375,4.76,7.14,5,35.7,1.88
S11121000027,2013-03-19,3477,Sam's Club 6472 / Council Bluffs,Vodkas,COUNCIL BLUFFS,34821,Svedka Vodka,6,1750,13.28,19.92,24,478.08,42
S13132100040,2013-07-02,2532,Hy-Vee Food Store #2 / Des Moines,Vodkas,DES MOINES,34821,Svedka Vodka,6,1750,13.28,19.92,30,597.6,52.5
S08514500017,2012-10-23,3629,Wal-Mart 1965 / Council Bluffs,Vodkas,COUNCIL BLUFFS,34821,Svedka Vodka,6,1750,12.89,19.84,24,476.16,42
S07471900001,2012-08-31,3524,Sam's Club 6568 / Ames,Vodkas,AMES,34821,Svedka Vodka,6,1750,12.89,19.84,150,2976,262.5
S06771200016,2012-07-25,3855,Dyno's Wine and Spirits / Storm Lake,Vodkas,STORM LAKE,34821,Svedka Vodka,6,1750,13.89,20.84,4,83.36,7
S06662000086,2012-07-19,3814,Costco Wholesale #788,Vodkas,WEST DES MOINES,34821,Svedka Vodka,6,1750,13.89,20.84,216,4501.44,378
S07500100001,2012-09-04,3477,Sam's Club 6472 / Council Bluffs,Vodkas,COUNCIL BLUFFS,34821,Svedka Vodka,6,1750,13.89,20.84,60,1250.4,105
S05748600025,2012-05-29,3477,Sam's Club 6472 / Council Bluffs,Vodkas,COUNCIL BLUFFS,34821,Svedka Vodka,6,1750,13.89,20.84,24,500.16,42
S08180900012,2012-10-09,4637,Kwik Shop #560 / Cedar Rapids,Vodkas,CEDAR RAPIDS,34817,Svedka,12,375,4.55,6.83,5,34.15,1.88
S08141000004,2012-10-08,3524,Sam's Club 6568 / Ames,Vodkas,AMES,34821,Svedka Vodka,6,1750,12.89,19.84,150,2976,262.5
S22989300011,2014-12-17,4635,Kwik Shop #563 / Cedar Rapids,Vodkas,CEDAR RAPIDS,34817,Svedka,12,375,4.76,7.14,5,35.7,1.88
S05906300001,2012-06-06,3420,Sam's Club 6344 / Windsor Heights,Vodkas,WINDSOR HEIGHTS,34821,Svedka Vodka,6,1750,12.89,19.84,180,3571.2,315
S05296500005,2012-05-01,4636,Kwik Shop #561 / Cedar Rapids,Vodkas,CEDAR RAPIDS,34817,Svedka,12,375,4.55,6.83,5,34.15,1.88
S07312900014,2012-10-26,2501,Hy-vee  #2 / Ames,Vodkas,AMES,34821,Svedka Vodka,6,1750,12.89,19.84,30,595.2,52.5
S10604400031,2013-02-14,3814,Costco Wholesale #788,Vodkas,WEST DES MOINES,34821,Svedka Vodka,6,1750,13.28,19.92,48,956.16,84
S07383800017,2012-10-08,2663,Hy-Vee / Urbandale,Vodkas,URBANDALE,34821,Svedka Vodka,6,1750,12.89,19.84,60,1190.4,105
S11752400029,2013-04-24,3447,Sam's Club 6432 / Sioux City,Vodkas,SIOUX CITY,34821,Svedka Vodka,6,1750,13.28,19.92,30,597.6,52.5
S07422300018,2012-10-05,2594,Hy-Vee Food Store / Sioux City,Vodkas,SIOUX CITY,34821,Svedka Vodka,6,1750,12.89,19.84,60,1190.4,105
S13581200028,2013-07-29,3814,Costco Wholesale #788,Vodkas,WEST DES MOINES,34821,Svedka Vodka,6,1750,13.28,19.92,180,3585.6,315
S23242500023,2014-12-29,3869,Bootleggin' Barzini's Fin,Vodkas,CORALVILLE,34822,Svedka,24,200,2.54,3.81,4,15.24,0.8
S05451400035,2012-05-09,3385,Sam's Club 8162 / Cedar Rapids,Vodkas,CEDAR RAPIDS,34821,Svedka Vodka,6,1750,13.89,20.84,30,625.2,52.5
S22169400065,2014-11-05,3928,Smokin' Joe's #12 Tobacco and Liquor,Vodkas,NORTH LIBERTY,34817,Svedka,12,375,4.76,7.14,7,49.98,2.62
S09121200063,2012-11-26,3670,Wal-Mart 2827 / Coralville,Vodkas,CORALVILLE,34821,Svedka Vodka,6,1750,13.28,19.92,30,597.6,52.5
S12907400022,2013-06-18,3814,Costco Wholesale #788,Vodkas,WEST DES MOINES,34821,Svedka Vodka,6,1750,13.28,19.92,360,7171.2,630
S04182700032,2012-02-21,3354,Sam's Club 8238 / Davenport,Vodkas,DAVENPORT,34821,Svedka Vodka,6,1750,13.89,20.84,36,750.24,63
S13334000102,2013-07-15,2648,Hy-Vee #4 / WDM,Vodkas,WEST DES MOINES,34821,Svedka Vodka,6,1750,13.28,19.92,120,2390.4,210
S26298900002,2015-06-18,4638,GD Xpress / Davenport,Vodkas,DAVENPORT,36315,Svedka 100 Proof,12,750,11.66,17.49,36,629.64,27
S05341600043,2012-05-02,3385,Sam's Club 8162 / Cedar Rapids,Vodkas,CEDAR RAPIDS,34821,Svedka Vodka,6,1750,13.89,20.84,36,750.24,63
S13208900024,2013-07-08,3690,Target Store T-1792 / Waterloo,Vodkas,WATERLOO,34821,Svedka Vodka,6,1750,13.28,19.92,4,79.68,7
S03725300006,2012-01-24,2614,Hy-Vee #3 Food and Drugstore,Vodkas,DAVENPORT,34821,Svedka Vodka,6,1750,13.89,20.84,30,625.2,52.5
S14759300113,2013-09-24,4604,Pit Stop Liquors / Newton,Vodkas,NEWTON,34821,Svedka Vodka,6,1750,13.28,19.92,4,79.68,7
S12533100024,2013-05-31,3814,Costco Wholesale #788,Vodkas,WEST DES MOINES,34821,Svedka Vodka,6,1750,13.28,19.92,168,3346.56,294
S25615000013,2015-05-13,4635,Kwik Shop #563 / Cedar Rapids,Vodkas,CEDAR RAPIDS,34817,Svedka,12,375,4.76,7.14,5,35.7,1.88
S24001800049,2015-02-11,3928,Smokin' Joe's #12 Tobacco and Liquor,Vodkas,NORTH LIBERTY,34817,Svedka,12,375,4.76,7.14,5,35.7,1.88
S05878600050,2012-06-05,3354,Sam's Club 8238 / Davenport,Vodkas,DAVENPORT,34821,Svedka Vodka,6,1750,12.89,19.84,36,714.24,63
S07378300016,2012-10-26,2958,Dahl's / E 33rd,Vodkas,DES MOINES,34821,Svedka Vodka,6,1750,12.89,19.84,90,1785.6,157.5
S04364500017,2012-03-01,3869,Bootleggin' Barzini's Fin,Vodkas,CORALVILLE,34821,Svedka Vodka,6,1750,13.89,20.84,5,104.2,8.75
S12693300029,2013-06-10,4677,Costco Wholesale #1111 / Coralville,Vodkas,CORALVILLE,34821,Svedka Vodka,6,1750,13.28,19.92,84,1673.28,147
S11485000021,2013-04-10,3385,Sam's Club 8162 / Cedar Rapids,Vodkas,CEDAR RAPIDS,34821,Svedka Vodka,6,1750,13.28,19.92,30,597.6,52.5
S33121500006,2016-06-29,5224,Keystone Liquor & Wine / Coralville,Vodkas,Coralville,36315,Svedka 100 Prf,12,750,10.25,15.38,3,46.14,2.25
S30045800013,2016-01-05,4477,Bucky's Express #17 / Council Bluffs,Vodkas,COUNCIL BLUFFS,34817,Svedka,12,375,4.76,7.14,6,42.84,2.25
S25748300075,2015-05-20,2513,Hy-Vee Food Store #2 / Iowa City,Vodkas,IOWA CITY,34817,Svedka,12,375,4.76,7.14,6,42.84,2.25
S30156500056,2016-01-12,5167,New Star Liquor & Tobacco  / Ft Dodg,Vodkas,FORT DODGE,34817,Svedka,12,375,4.76,7.14,6,42.84,2.25
S29683300012,2015-12-21,4634,Kwik Shop #565 / Cedar Rapids,Vodkas,CEDAR RAPIDS,34817,Svedka,12,375,4.76,7.14,6,42.84,2.25
S33456600003,2016-07-20,5225,The Station II / North Liberty,Vodkas,North Liberty,34817,Svedka,12,375,4.76,7.14,6,42.84,2.25
S30365200004,2016-01-25,5213,Garner One Stop,Vodkas,MONTROSE,34817,Svedka,12,375,4.76,7.14,6,42.84,2.25
S31986800125,2016-04-26,2629,Hy-Vee Food Store #2 / Council Bluff,Vodkas,COUNCIL BLUFFS,34817,Svedka,12,375,4.76,7.14,6,42.84,2.25
S32857000016,2016-06-14,4629,Kwik Shop #541 / Glenwood,Vodkas,Glenwood,34817,Svedka,12,375,4.76,7.14,6,42.84,2.25
S33107300043,2016-06-28,2518,Hy-Vee Wine and Spirits / Red Oak,Vodkas,Red Oak,36315,Svedka 100 Prf,12,750,10.25,15.38,3,46.14,2.25
S31904600002,2016-04-21,4345,Lucky Mart,Vodkas,GRINNELL,36315,Svedka 100 Prf,12,750,10.25,15.38,3,46.14,2.25
S21428300009,2014-09-30,4477,Bucky's Express #17 / Council Bluffs,Vodkas,COUNCIL BLUFFS,34817,Svedka,12,375,4.76,7.14,6,42.84,2.25
S07907600020,2012-09-24,4091,Fareway Stores #705 / Clear Lake,Vodkas,CLEAR LAKE,34820,Svedka Vodka,12,750,6.97,10.95,3,32.85,2.25
S09610700036,2012-12-20,4076,Sakar Liquor Store,Vodkas,DAVENPORT,34820,Svedka Vodka,12,750,6.97,10.95,3,32.85,2.25
S07308900008,2012-08-28,4634,Kwik Shop #565 / Cedar Rapids,Vodkas,CEDAR RAPIDS,34817,Svedka,12,375,4.55,6.83,6,40.98,2.25
S21787800020,2014-10-16,4265,Kwik Stop 3 / Waterloo,Vodkas,WATERLOO,34817,Svedka,12,375,4.76,7.14,6,42.84,2.25
S15323200034,2013-10-23,2609,Hy-Vee Drugstore #2 / Ames,Vodkas,AMES,34817,Svedka,12,375,4.55,6.83,6,40.98,2.25
S17971600016,2014-03-19,2609,Hy-Vee Drugstore #2 / Ames,Vodkas,AMES,34817,Svedka,12,375,4.76,7.14,6,42.84,2.25
S26338300029,2015-06-22,4636,Kwik Shop #561 / Cedar Rapids,Vodkas,CEDAR RAPIDS,34817,Svedka,12,375,4.76,7.14,6,42.84,2.25
S05526200027,2012-05-14,4190,Fareway Stores #888 / Jefferson,Vodkas,JEFFERSON,34820,Svedka Vodka,12,750,6.97,10.95,3,32.85,2.25
S27222600016,2015-08-10,4624,Kwik Shop #568 / Hiawatha,Vodkas,HIAWATHA,34817,Svedka,12,375,4.76,7.14,6,42.84,2.25
S09711800014,2012-12-26,3915,Sac City Food Pride,Vodkas,SAC CITY,34820,Svedka Vodka,12,750,6.97,10.95,3,32.85,2.25
S13363400048,2013-07-15,4892,Sara Mini Mart,Vodkas,DAVENPORT,34817,Svedka,12,375,4.55,6.83,6,40.98,2.25
S15417300034,2013-10-30,3650,"Spirits, Stogies and Stuff",Vodkas,HOLSTEIN,35435,Svedka Traveler,12,750,7.97,11.96,3,35.88,2.25
S13438800033,2013-07-18,2500,Hy-Vee Food Store #1 / Ames,Vodkas,AMES,34817,Svedka,12,375,4.55,6.83,6,40.98,2.25
S06653400044,2012-07-19,4108,Oasis Grocery and Liquor /,Vodkas,DES MOINES,34817,Svedka,12,375,4.55,6.83,6,40.98,2.25
S07525900032,2012-09-04,4617,Lickety Liquor,Vodkas,DES MOINES,34820,Svedka Vodka,12,750,6.97,10.95,3,32.85,2.25
S11557800066,2013-04-09,2587,Hy-Vee Food Store / Johnston,Vodkas,JOHNSTON,34817,Svedka,12,375,4.55,6.83,6,40.98,2.25
S05809500011,2012-05-31,4322,Hometown Foods / Baxter,Vodkas,BAXTER,34820,Svedka Vodka,12,750,6.97,10.95,3,32.85,2.25
