"project","article","access","agent","granularity","date","en_views","id_views"
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-09-19,622,912
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-09-20,744,921
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-09-21,829,956
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-09-22,974,823
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-09-23,712,794
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-09-24,868,887
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-09-25,1033,818
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-09-26,809,783
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-09-27,785,928
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-09-28,1034,862
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-09-29,955,875
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-09-30,1669,998
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-10-01,1063,921
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-10-02,856,848
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-10-03,764,823
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-10-04,903,922
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-10-05,800,915
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-10-06,865,885
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-10-07,775,1045
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-10-08,1187,929
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-10-09,1058,837
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-10-10,845,794
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-10-11,776,917
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-10-12,962,906
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-10-13,944,765
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-10-14,1180,882
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-10-15,1259,911
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-10-16,1183,859
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-10-17,799,843
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-10-18,955,1025
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-10-19,1305,1202
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-10-20,1555,4374
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-10-21,1258,1226
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-10-22,1160,1006
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-10-23,1098,1010
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-10-24,1065,1246
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-10-25,1005,974
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-10-26,1376,1018
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-10-27,2172,1105
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-10-28,1505,1051
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-10-29,1105,1002
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-10-30,909,1009
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-10-31,823,867
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-11-01,799,995
